date,return
1939-05-31,1.3438853000000002
1939-06-30,1.2629068
1939-07-31,1.4060553
1939-08-31,1.3114985000000001
1939-09-30,1.5326006
1939-10-31,1.516437
1939-11-30,1.4481358999999998
1939-12-31,1.4886396000000002
1940-01-31,1.4423768
1940-02-29,1.4577013
1940-03-31,1.4791416000000002
1940-04-30,1.4780733999999998
1940-05-31,1.1303902
1940-06-30,1.2245434
1940-07-31,1.2684523
1940-08-31,1.3079322
1940-09-30,1.3289022
1940-10-31,1.3876363999999999
1940-11-30,1.3362817
1940-12-31,1.3385479999999998
1941-01-31,1.2819881000000002
1941-02-28,1.2699581
1941-03-31,1.2820508
1941-04-30,1.2067985
1941-05-31,1.2175034
1941-06-30,1.2906354
1941-07-31,1.3692431999999999
1941-08-31,1.3653266000000002
1941-09-30,1.3596967
1941-10-31,1.2752603
1941-11-30,1.2291503000000001
1941-12-31,1.1810368999999998
1942-01-31,1.2051308
1942-02-28,1.1746372999999999
1942-03-31,1.1109441
1942-04-30,1.0700325000000002
1942-05-31,1.1461658000000001
1942-06-30,1.174994
1942-07-31,1.2191121999999999
1942-08-31,1.2350131000000002
1942-09-30,1.2753729999999999
1942-10-31,1.3645973
1942-11-30,1.3528866000000002
1942-12-31,1.4299496
1943-01-31,1.5396048
1943-02-28,1.6247658
1943-03-31,1.7176904
1943-04-30,1.7264659
1943-05-31,1.8112468999999998
1943-06-30,1.8545006000000002
1943-07-31,1.7614044999999998
1943-08-31,1.7870343999999998
1943-09-30,1.8370155
1943-10-31,1.8204183
1943-11-30,1.6907403000000003
1943-12-31,1.7982698000000001
1944-01-31,1.833965
1944-02-29,1.8373253
1944-03-31,1.8764478999999998
1944-04-30,1.861231
1944-05-31,1.9447256999999998
1944-06-30,2.0521912
1944-07-31,2.0179431
1944-08-31,2.0438715
1944-09-30,2.0460008999999997
1944-10-31,2.0545429
1944-11-30,2.0711578999999998
1944-12-31,2.1524127999999996
1945-01-31,2.1919952
1945-02-28,2.3358859
1945-03-31,2.2369324
1945-04-30,2.4426131
1945-05-31,2.4795092
1945-06-30,2.4801874
1945-07-31,2.4395652
1945-08-31,2.590176
1945-09-30,2.7079019
1945-10-31,2.7992174
1945-11-30,2.8992508
1945-12-31,2.9371946
